,text
0,"Se Deus permitir, no dia 24 de maio estaremos em Quito representando o nosso Brasil em sua posse como Presidente Constitucional da República do Equador. 🇧🇷🇪🇨"
1,"Conversei hoje com @LassoGuillermo, presidente eleito do Equador. Reafirmei minha admiração pelo povo equatoriano e meu compromisso com o avanço das relações entre nossos países. Também saudei sua vitória, que reforçará nossa luta em defesa da democracia e da liberdade na região."
2,"- Nova Santa Rita/RS. O 3º Grupamento Logístico realizou mais uma entrega de medicamentos para kits intubação no RS. Foram cerca de 5,5 mil medicamentos para 24 hospitais, em 19 cidades. (15/04/2021)

@exercitooficial @DefesaGovBr @fab_oficial @marmilbr https://t.co/QqSliEnqQU"
3,"A2- A droga foi encontrada em um veículo que era terceirizado para os correios, acondicionada em caixas utilizadas pela empresa pública para a entrega de encomendas por Sedex. Na operação, também foi apreendido um veículo Toyota/Corola, que servia como batedor e 4 foram presos."
4,"A1- Na manhã desta quinta feira (15), em Alagoas, a @PRFBrasil apreendeu 540 kg de cloridrato de cocaína. A maior apreensão desta droga no Estado desde 2019.

A apreensão representa um prejuízo às organizações criminosas de mais de 80 milhões de reais. https://t.co/oTj02xQXWB"
5,"1.1- O @minsaude está ultrapassando a marca de 50 milhões de doses de vacinas covid-19 distribuídas em todo o Brasil. Isso porque, nesta semana, mais 6,3 milhões de doses estão sendo  enviadas para todos os estados e DF. 

- Segue o segundo fio do dia: https://t.co/srLTW55Vjz"
6,- Governador de Tocantins e o apoio do Presidente no combate ao Covid. https://t.co/9VQGpiT7yI
7,- Estamos entre os 5 países que mais possuem vacinas no mundo: https://t.co/TktS90kxKa
8,"- Operação COVID19: Em Manaus-AM, a Marinha do Brasil segue com o apoio logístico à Campanha Nacional de Vacinação. @marmilbr @DefesaGovBr https://t.co/EouKJmrPL2"
9,- A Controladoria Geral da União (@CGUonline / @WRosarioCGU ) continua sua atuação diária no combate aos desvios de recursos públicos enviados pelo Governo Federal a estados e a municípios. Mais detalhes em suas redes sociais. https://t.co/gjevOVI2hZ
10,"- O @govbr sanciona alteração na Lei que autoriza @ebserh a contratar novos profissionais via concurso público.

Detalhes: https://t.co/YIupX6qnV3

@MEC_Comunicacao @mribeiroMEC https://t.co/ahnwHsYkSn"
11,- @mdhbrasil @DamaresAlves @joaoromaneto @MinCidadania https://t.co/lKL21XdrVU
12,"A2. Militares atuam em 7 drive-thrus de vacinação distribuídos nas regiões Norte, Oeste e Sudeste do município de São Paulo e, ainda, transportam as vacinas das Coordenadorias Regionais de Saúde (CRS) e das Unidades Básicas de Saúde (UBS) até os pontos de vacinação. @DefesaGovBr"
13,A1. O 8º Batalhão de Polícia do Exército (8º BPE) e militares de outras organizações militares entraram na campanha de vacinação contra o Covid no município de São Paulo. @exercitooficial https://t.co/62iml0s7NJ
14,"- A @fiocruz entregou nesta quarta 2,2 milhões de doses de vacina contra o covid ao Programa Nacional de Imunizações.

- A fundação disponibilizará, nesta semana, um total de 5 milhões de doses, com a liberação de mais 2,8 milhões na sexta. @minsaude @mqueiroga2 

Segue o fio... https://t.co/QMsRtih8IR"
15,". Anvisa e as vacinas;
. Constituição;
. Visitas às comunidades para ouvir o sofrimento do povo e mais."
16,". Estatais dão lucro recorde, algo totalmente diferente do passado;
. Mulheres ganham espaço no Governo;
. Grande parte da mídia podre no Brasil;
. Carmem Lucia dá 5 dias para Arthur Lyra explicar por que não abriu processo de impeachment contra Presidente Jair Bolsonaro;"
17,". Militante petista tenta matar quem pensa diferente;
. Colocações sobre as gravações ilegais de Kajuru;
. Senador e emissora de tv são desmentidas por presidente da Pfizer;
. Inflação virá com a política proposital do fecha tudo por governadores;
. @BancoCentralBR independente;"
18,". Antecipação do auxílio-emergencial e mais colocações sobre o assunto com o Presidente da @Caixa ;
. Maioria do STF reverte decisões e torna elegível presidiário condenado por corrupção;
. Mais e mais exemplos das derivações do “fique em casa e a economia deixa para depois”;"
19,"Temas:

. Brasil vacina mais que toda a Europa junto e mais;
. Governadores destroem milhões de empregos no Brasil e fazem saldo positivo de caixa com envio de recursos pelo @govbr ;
. Tratamentos off-label e a liberdade dos médicos de prescrição, algo que sempre aconteceu;"
20,"- Live de Quinta-feira - 15/04/2021 - Presidente Jair Bolsonaro.

. Link no YouTube: https://t.co/acnpACgTyS"
21,"- Esta semana, o @govbr retomou os testes da estrutura que está levando as águas do Eixo Norte do Projeto de Integração do Rio São Francisco da Barragem de Atalho ao Reservatório Porcos, no Ceará. Água + perto da Paraíba e do Rio Grande do Norte!

@rogeriosmarinho @mdregional_br https://t.co/rqzv5wUTon"
22,"- Exército Argentino nas ruas para manter o povo em casa.
- Toque de recolher entre 20h e 08h.
- Bom dia a todos. https://t.co/kCHe6NbQ3p"
23,"A3. A pasta também autorizou mais 347 leitos de Suporte Ventilatório Pulmonar para atendimento exclusivo aos pacientes confirmados ou com suspeita de covid-19 no DF e nos estados da BA, MA, MG, SP, Rio Grande do Sul, Piauí, Amazonas, Pará, Rio Grande do Norte e Santa Catarina."
24,"A2. Objetivados vários municípios nos estados de Alagoas, Amazonas, Amapá, Bahia, Ceará, Maranhão, Minas Gerais, Pará, Pernambuco, Paraná, Rio Grande do Norte, Rondônia, Rio Grande do Sul, Santa Catarina, Sergipe e São Paulo, conforme portaria publicada no DOU. @minsaude"
25,A1. Mais 1.301 leitos de UTI adulto e 35 leitos de UTI pediátrica foram autorizados nesta quarta-feira (14) pelo Ministério da Saúde para atendimento de pacientes graves com covid-19. @govbr https://t.co/iQiSNpAuN6
26,"- A @marmilbr mantém uma linha de produção de respiradores que, até março deste ano, entregou mais de 300 aparelhos à USP, responsável pela distribuição nas diversas unidades de saúde do País. https://t.co/pAAf19h8bP"
27,https://t.co/eNeI013Yrw
28,"- Forças Armadas transportam 320 kg de materiais de saúde e vacinas contra o covid para o município de Boca do Acre, no Amazonas. 

O trabalho continua!

@DefesaGovBr / @fab_oficial / @exercitooficial https://t.co/eiJVO41u5K"
29,"- O @minsaude anunciou na manhã desta quarta-feira a antecipação da vinda de 2 milhões de doses da vacina Pfizer, das 100 milhões anteriormente previstas no calendário. 15,5 milhões de doses desta marca chegarão ao Brasil nos meses de abril, maio e junho. Detalhes:

(Segue o fio) https://t.co/qCNwOsfk8I"
30,- Boa tarde a todos: https://t.co/GoYe9bsJCi
31,"RT @SGPresidencia: O presidente @jairbolsonaro incluiu os @CorreiosBR no Programa Nacional de Desestatização. 
Por meio de decreto, foram estabelecidas diretrizes e permitidos estudos necessários para o processo.  #govbr
https://t.co/VCtH3hxbHi"
32,"RT @onyxlorenzoni: Assista. Força Nacional foi a Prado/BA para proteger pessoas da violência do MST, o Governador petista pediu e  Min Fachin mandou retirar a FN de lá. Desrespeito às pessoas - apenas as usam qdo convém-, desrespeito ao direito de propriedade, desrespeito à vida. Essa é a esquerda. https://t.co/CkleNBRHJk"
33,https://t.co/UQr3DNKiRS
34,https://t.co/TgnLCAiyAY
35,https://t.co/MMIjAws6fw
36,https://t.co/gi4QyQvj0M
37,https://t.co/i8OwhBFgfE
38,https://t.co/YIdNGmlCTu
39,https://t.co/yTkIjvr8mK
40,- @minsaude https://t.co/FZYomPIh9U
41,"A2. Realizada em sistema de rodízio entre o 25° Batalhão de Caçadores e o 2° Batalhão de Engenharia de Construção do Exército Brasileiro, a operação já transportou 960 cilindros para a unidade de saúde. 

As ações continuam!

Acesse: https://t.co/E4OP1K6flV

@DefesaGovBr"
42,"A1. O 10º Região Militar do Exército Brasileiro realiza uma operação de transporte de cilindros de oxigênio de Teresina para Parnaíba (PI), a fim de reforçar os estoques do Hospital Estadual Dirceu Arcoverde (HEDA). @exercitooficial https://t.co/4JFWcgeBNm"
43,"- Militares entregam mais de 310 mil medicamentos para covid em 293 hospitais do Rio Grande do Sul. 

Desde o início!

@DefesaGovBr @exercitooficial @marmilbr @fab_oficial https://t.co/qgKyNyO3sS"
44,"- Mais detalhes: https://t.co/xZKwOC4bV7

( Segue o fio) https://t.co/1LRwnexGCG"
45,"1.2- Fora o trabalho interno iniciado há muito, e mostrado nas redes sociais diariamente, o Governo do Brasil, via Forças Armadas tem levado aos grandes centros e locais mais longínquos, cilindros e usinas de oxigênio.

A missão não pára! @MinEconomia @DefesaGovBr @fab_oficial"
46,1.1- Chegam ao Brasil os primeiros 1.800 de 5.000 concentradores de oxigênio que estão sendo distribuídos aos estados e municípios  do Brasil de acordo com a necessidade. @EconomiaSepec @tvbrasilgov https://t.co/W4TKHDSoRz
47,"1.2- O Pronampe, criado via @EconomiaSepec para ampliar a liberação de crédito destinado às Micro e Pequenas Empresas (MPEs), levou mais de R$ 37 bilhões aos pequenos negócios. Aliado a outros programas com o mesmo objetivo, mais de R$ 148 bilhões chegaram às MPEs do país."
48,"1.1- O @govbr autorizou a ampliação da carência para pagamento dos empréstimos realizados via Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe). 

A prorrogação para pagamento da 1ª parcela pode ser negociada junto às instituições financeiras. https://t.co/zdW69jewRq"
49,"A3. Importante para a região, a rodovia faz divisa com municípios como Bom Jesus de Itabapoana, Itaocara e Itaperuna. Além disso, fica a 345 km da capital Rio de Janeiro e a menos de 100 km de Minas Gerais e Espírito Santo. @tarcisiogdf"
